Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
11,11,11,11,11,CUST0012,26-29,1,29298-38581,google,Awareness,2786.2354819034135,0.19916792628481456,0.1517844637027436,16,9.285820282917335,1.7459576047498846,23,18,6,5-9,2403,[REDACTED],[REDACTED],1
12,12,12,12,12,CUST0013,38-41,1,122138-131421,protonmail,Conversion,5770.051793871054,0.23233465131537256,0.02238089222669324,13,8.723042097734426,8.199644469850503,28,16,5,0-4,2946,[REDACTED],[REDACTED],1
13,13,13,13,13,CUST0014,50-53,1,57150-66433,google,Awareness,1330.62901857084,0.18874622825311524,0.15992935155786198,8,8.454234043205705,14.264714584441622,81,8,1,0-4,2818,[REDACTED],[REDACTED],1
14,14,14,14,14,CUST0015,54-57,1,140706-149989,yahoo,Awareness,3959.5637849903005,0.12194356870795639,0.11246544689677765,20,7.315209419269335,2.777174525136669,70,16,8,0-4,3247,[REDACTED],[REDACTED],1
15,15,15,15,15,CUST0016,38-41,0,38582-47865,zoho,Awareness,344.7644367543197,0.07311426071531474,0.09339953408184833,44,6.760394175977355,2.33883289810923,33,0,1,0-4,4474,[REDACTED],[REDACTED],0
16,16,16,16,16,CUST0017,18-21,0,20014-29297,twitter ads,Conversion,2071.058680215724,0.2779996999335412,0.03237769933392281,1,3.405487513186792,4.425699767259437,77,7,8,5-9,3252,[REDACTED],[REDACTED],1
17,17,17,17,17,CUST0018,38-41,0,66434-75717,linkedin,Conversion,965.8228557932321,0.15661264781481574,0.15228694761480616,31,4.220125639017278,9.927668608323136,83,18,5,0-4,3463,[REDACTED],[REDACTED],1
18,18,18,18,18,CUST0019,18-21,0,112854-122137,google ads,Conversion,4028.060216243154,0.15234667821084874,0.03144796481224657,7,3.373263754005715,8.269052171002853,92,8,4,5-9,2222,[REDACTED],[REDACTED],1
19,19,19,19,19,CUST0020,38-41,0,66434-75717,bing ads,Consideration,8575.506817015126,0.2984710841549099,0.04850331705024968,35,9.775755841917002,1.7880745283767756,36,7,7,0-4,3644,[REDACTED],[REDACTED],1
20,20,20,20,20,CUST0021,58-61,0,85002-94285,twitter ads,Consideration,3841.30102583455,0.12266326738156677,0.033788756570764175,25,6.697956355829869,7.045120534697718,41,5,1,5-9,1651,[REDACTED],[REDACTED],1
21,21,21,21,21,CUST0022,46-49,0,112854-122137,google,Consideration,8542.592447523783,0.26695650373308005,0.007942715923148547,36,9.677528684550033,1.3984975342877597,63,14,0,5-9,2586,[REDACTED],[REDACTED],1
22,22,22,22,22,CUST0023,54-57,1,57150-66433,yahoo,Consideration,6665.312735248064,0.2581526639531504,0.13891114851128755,14,3.4092021171213287,12.711249696979703,94,14,6,5-9,1989,[REDACTED],[REDACTED],1
23,23,23,23,23,CUST0024,18-21,0,66434-75717,online directory,Conversion,5289.425036784789,0.07942607925057946,0.0577051670285899,33,6.444122552352965,2.002352534161283,18,5,5,0-4,1417,[REDACTED],[REDACTED],1
24,24,24,24,24,CUST0025,38-41,0,112854-122137,whatsapp,Awareness,2590.989043051038,0.035472877871897235,0.041410653252551916,20,7.663147437009947,7.466749648966756,22,14,3,0-4,1563,[REDACTED],[REDACTED],1
25,25,25,25,25,CUST0026,50-53,0,140706-149989,bing ads,Conversion,9248.347348913208,0.2882575107937258,0.06856225873344077,22,1.9163707685596403,7.59165475726653,70,17,3,0-4,2227,[REDACTED],[REDACTED],1
26,26,26,26,26,CUST0027,26-29,1,75718-85001,protonmail,Consideration,510.033450640656,0.13063791376445255,0.10608310080204096,8,6.768925785127377,8.122694114525007,5,5,5,0-4,129,[REDACTED],[REDACTED],0
27,27,27,27,27,CUST0028,38-41,1,94286-103569,instagram,Retention,6962.649974430052,0.012994593977579075,0.10996998665725491,39,2.545628348849234,8.953329765068485,98,17,6,0-4,2688,[REDACTED],[REDACTED],1
28,28,28,28,28,CUST0029,58-61,0,20014-29297,blog,Retention,6370.362243345266,0.15517359076181847,0.08276992363738761,25,4.152606560658788,10.719473371149851,92,17,1,0-4,68,[REDACTED],[REDACTED],1
29,29,29,29,29,CUST0030,42-45,0,131422-140705,affiliate,Conversion,4748.11253097445,0.19150366340805866,0.10320237594177116,42,7.525520565874828,0.6245318411733798,54,18,6,0-4,3079,[REDACTED],[REDACTED],1
30,30,30,30,30,CUST0031,66-69,1,66434-75717,google ads,Awareness,2373.7892047283362,0.23398441863652325,0.09015902835426454,21,4.943006990826365,1.1875280528707441,76,19,9,0-4,1011,[REDACTED],[REDACTED],1
31,31,31,31,31,CUST0032,42-45,1,103570-112853,online directory,Consideration,4292.328840993985,0.2841481606953357,0.16568317450955375,12,9.310520136116805,9.340258878277192,38,12,6,0-4,911,[REDACTED],[REDACTED],1
32,32,32,32,32,CUST0033,58-61,0,38582-47865,partner site,Awareness,8794.707789988648,0.2825551433593745,0.01631930060915163,24,3.1082744288725097,3.248701387633292,24,10,5,5-9,4683,[REDACTED],[REDACTED],1
33,33,33,33,33,CUST0034,42-45,0,103570-112853,facebook,Awareness,8444.776402332442,0.2842779547720827,0.1757375584449247,6,2.463119536357629,12.149877377070547,97,14,2,0-4,467,[REDACTED],[REDACTED],1
34,34,34,34,34,CUST0035,30-33,1,122138-131421,facebook,Awareness,9363.271526745591,0.023895747260014644,0.055636320119985344,26,4.005293118201728,9.489300792227304,82,5,7,5-9,653,[REDACTED],[REDACTED],1
35,35,35,35,35,CUST0036,30-33,0,122138-131421,linkedin ads,Consideration,3102.673545800931,0.21537570041994478,0.14946184382028027,14,8.529640922467358,14.936561187153528,3,10,0,0-4,2429,[REDACTED],[REDACTED],1
36,36,36,36,36,CUST0037,62-65,1,112854-122137,protonmail,Conversion,4057.5446883050836,0.07250483043391909,0.09294614177688791,11,8.583745670244769,11.225975002521908,87,3,7,0-4,1066,[REDACTED],[REDACTED],1
37,37,37,37,37,CUST0038,66-69,1,122138-131421,facebook ads,Consideration,162.24020697449328,0.05876629080134394,0.06993832641205884,44,4.1653590493607044,1.6432424991600922,32,14,6,0-4,257,[REDACTED],[REDACTED],1
38,38,38,38,38,CUST0039,58-61,0,140706-149989,bing,Consideration,9361.787187081307,0.24336072724906654,0.12849640628771963,32,8.16741684757116,3.0519642672803347,65,15,1,5-9,4709,[REDACTED],[REDACTED],1
39,39,39,39,39,CUST0040,66-69,1,140706-149989,blog,Conversion,3040.8913501205984,0.13123554074719562,0.1544810018469913,20,1.5300302383022903,0.8632658499195026,1,13,0,0-4,2885,[REDACTED],[REDACTED],1
40,40,40,40,40,CUST0041,18-21,0,57150-66433,zoho,Conversion,4039.2915970028585,0.2737735865708761,0.09520980989409573,24,1.469167552463913,11.172566826375517,13,4,7,0-4,1476,[REDACTED],[REDACTED],1
41,41,41,41,41,CUST0042,54-57,0,20014-29297,tiktok,Conversion,9216.053788128445,0.02347914047378782,0.10105387057042996,39,8.845477762273603,2.2685020051029774,49,14,3,0-4,3243,[REDACTED],[REDACTED],1
42,42,42,42,42,CUST0043,66-69,0,140706-149989,google,Retention,5372.572058756211,0.23449654525016556,0.021746286320975063,46,8.64054789754877,10.60953954974589,10,9,9,5-9,3513,[REDACTED],[REDACTED],1
43,43,43,43,43,CUST0044,22-25,1,38582-47865,bing,Retention,5582.315439158534,0.052793579168601494,0.18418903620664673,21,2.3943897580555875,8.296222631328389,33,5,9,0-4,913,[REDACTED],[REDACTED],0
44,44,44,44,44,CUST0045,38-41,1,131422-140705,online directory,Conversion,1871.4069918220853,0.06095787428729002,0.17215553486530638,13,3.508513634139998,9.712000490961465,37,15,8,5-9,2136,[REDACTED],[REDACTED],1
45,45,45,45,45,CUST0046,26-29,1,112854-122137,instagram,Awareness,4877.959164159283,0.14859295688253002,0.08651071442457661,7,8.644572863156464,7.963587551878739,91,15,3,0-4,284,[REDACTED],[REDACTED],1
46,46,46,46,46,CUST0047,54-57,0,112854-122137,outlook,Retention,9238.761240508966,0.11947804082120451,0.15189644135382777,23,1.7781900909884378,0.6472078556575518,38,18,7,0-4,4275,[REDACTED],[REDACTED],1
47,47,47,47,47,CUST0048,34-37,0,85002-94285,tiktok,Consideration,5426.544267499322,0.15221549953894875,0.06986420142834299,2,8.812848709967366,4.128099097337538,21,2,7,5-9,3388,[REDACTED],[REDACTED],1
48,48,48,48,48,CUST0049,18-21,0,112854-122137,news portal,Consideration,2542.390574635372,0.27611134596882536,0.148198920810167,11,5.986779092833637,13.432338364797044,41,19,0,5-9,883,[REDACTED],[REDACTED],1
49,49,49,49,49,CUST0050,42-45,0,122138-131421,yahoo,Retention,204.81895571510478,0.20966956005424328,0.10603340891561105,46,7.091459284403517,13.695328710721183,96,17,4,5-9,3404,[REDACTED],[REDACTED],1
50,50,50,50,50,CUST0051,30-33,0,38582-47865,online directory,Consideration,3436.6348911631826,0.09256939363782299,0.0930922834662659,21,6.48194850156429,1.75480941563157,94,18,3,5-9,4788,[REDACTED],[REDACTED],1
51,51,51,51,51,CUST0052,66-69,0,94286-103569,linkedin ads,Conversion,5880.697127367499,0.0605993839041367,0.022578821681479677,15,6.323161558851279,14.416751780640404,56,1,3,5-9,4720,[REDACTED],[REDACTED],1
52,52,52,52,52,CUST0053,26-29,1,57150-66433,baidu,Consideration,293.3330993292744,0.12595579463792184,0.1919585926144123,6,2.6178212653758526,10.410964336965385,77,8,8,0-4,2124,[REDACTED],[REDACTED],1
53,53,53,53,53,CUST0054,42-45,1,47866-57149,online directory,Retention,6389.06972002853,0.13459877521504346,0.16752096424111956,17,3.2113123432669486,14.187962007666465,37,0,2,0-4,3219,[REDACTED],[REDACTED],1
54,54,54,54,54,CUST0055,18-21,0,20014-29297,yahoo,Awareness,5254.048530742852,0.1830269163422979,0.16709463461495286,44,6.261638283295863,6.450068016177322,8,3,7,5-9,4930,[REDACTED],[REDACTED],1
55,55,55,55,55,CUST0056,34-37,1,29298-38581,outlook,Consideration,7661.415326131444,0.08617299237790631,0.06290777239268334,22,4.781661784554027,1.8209802390931902,87,3,8,0-4,1977,[REDACTED],[REDACTED],1
56,56,56,56,56,CUST0057,42-45,1,29298-38581,zoho,Consideration,611.7917998180759,0.2317878143896682,0.06274818345610202,25,5.816296197592858,4.823009231052806,28,5,7,5-9,3851,[REDACTED],[REDACTED],1
57,57,57,57,57,CUST0058,62-65,0,20014-29297,bing ads,Awareness,7733.8239861189695,0.04148660867037197,0.11526450700656027,37,3.301107406870159,10.338931180655353,68,5,3,0-4,336,[REDACTED],[REDACTED],1
58,58,58,58,58,CUST0059,22-25,0,66434-75717,twitter,Retention,5161.8447139459195,0.17930931833164065,0.1724879652920519,1,5.095478945856027,12.009286518187118,41,18,1,0-4,465,[REDACTED],[REDACTED],1
59,59,59,59,59,CUST0060,58-61,1,20014-29297,gmail,Awareness,3784.0552612547904,0.1876567414710929,0.1871881975343294,1,2.1622252283335364,1.2303763381658321,59,7,9,0-4,3434,[REDACTED],[REDACTED],1
60,60,60,60,60,CUST0061,22-25,0,112854-122137,twitter ads,Consideration,9628.387661777708,0.06881392909003864,0.05866283659860752,21,1.0936689616149153,7.793129111586538,38,7,6,0-4,1035,[REDACTED],[REDACTED],1
61,61,61,61,61,CUST0062,62-65,0,75718-85001,zoho,Retention,1437.5323646284514,0.25246544698342066,0.12355885156576774,37,9.669462595156377,1.2979774327250257,90,19,2,5-9,2604,[REDACTED],[REDACTED],1
62,62,62,62,62,CUST0063,50-53,0,140706-149989,linkedin ads,Conversion,5626.137538934489,0.18606843617597735,0.14733334125943465,41,7.832496283447962,13.040330923635508,71,12,5,0-4,716,[REDACTED],[REDACTED],1
63,63,63,63,63,CUST0064,30-33,1,112854-122137,outlook,Retention,3217.3185934165263,0.20179915092731893,0.046385401196363536,27,5.251595001500589,7.5671741397081975,92,8,2,5-9,3979,[REDACTED],[REDACTED],1
64,64,64,64,64,CUST0065,34-37,1,131422-140705,tiktok,Retention,5363.809689179122,0.1604604849892221,0.08563855917189248,16,5.9159804709396235,13.780476304275908,59,18,3,0-4,824,[REDACTED],[REDACTED],1
65,65,65,65,65,CUST0066,50-53,0,103570-112853,affiliate,Conversion,5509.293675934429,0.2784938836615456,0.04367475120521132,47,5.539253769406194,1.4405280994281056,52,6,1,0-4,125,[REDACTED],[REDACTED],1
66,66,66,66,66,CUST0067,66-69,0,47866-57149,yahoo,Retention,967.015927209866,0.20905023828459757,0.14186286277791718,17,9.066709666869253,5.338976280491428,75,19,4,5-9,643,[REDACTED],[REDACTED],1
67,67,67,67,67,CUST0068,54-57,0,122138-131421,blog,Consideration,6854.781745246918,0.1211487910627029,0.1738786242212636,1,7.981193147980941,10.29117445692641,7,7,9,5-9,4051,[REDACTED],[REDACTED],1
68,68,68,68,68,CUST0069,18-21,0,85002-94285,yahoo,Consideration,6253.88503124043,0.07321373638953116,0.17675080058908543,34,4.228342272454567,4.877210759421704,20,10,6,0-4,4280,[REDACTED],[REDACTED],1
69,69,69,69,69,CUST0070,18-21,1,103570-112853,linkedin,Consideration,7691.422922053202,0.032594682787762515,0.13411969179693356,14,2.945148320090223,12.49725699146233,55,2,1,0-4,3849,[REDACTED],[REDACTED],1
70,70,70,70,70,CUST0071,22-25,1,29298-38581,partner site,Consideration,852.7144737997253,0.05692235610433213,0.07461564228529147,14,1.5078617391502307,14.91291328752117,47,16,4,0-4,1328,[REDACTED],[REDACTED],1
71,71,71,71,71,CUST0072,58-61,0,57150-66433,facebook ads,Conversion,2898.481159520999,0.29695399128814237,0.13239100618239974,43,2.278331729761828,4.567560538468436,46,4,5,5-9,558,[REDACTED],[REDACTED],1
72,72,72,72,72,CUST0073,18-21,1,20014-29297,protonmail,Consideration,6579.823043037384,0.13296287360863343,0.1728192004513796,44,5.600610396012804,5.664328503493074,8,5,5,0-4,2761,[REDACTED],[REDACTED],1
73,73,73,73,73,CUST0074,46-49,1,57150-66433,yahoo,Retention,1277.5943996721944,0.2655417069905813,0.12734328243890417,33,2.699251101973763,14.261066099476292,77,14,1,0-4,2918,[REDACTED],[REDACTED],1
74,74,74,74,74,CUST0075,34-37,0,140706-149989,facebook ads,Awareness,6920.430657741613,0.050869131349713166,0.08499240440985811,49,3.8427390580289607,5.6976027472731365,0,8,1,5-9,3483,[REDACTED],[REDACTED],1
75,75,75,75,75,CUST0076,42-45,1,94286-103569,twitter,Conversion,611.8467036406943,0.134725092701085,0.18623780086230443,14,1.917948856330997,8.557252053033958,54,18,1,5-9,11,[REDACTED],[REDACTED],1
76,76,76,76,76,CUST0077,58-61,1,38582-47865,yahoo,Conversion,3539.1558195437115,0.29235897449097625,0.17078793455086433,17,9.26607106309921,11.361939224017314,30,5,2,5-9,2751,[REDACTED],[REDACTED],1
77,77,77,77,77,CUST0078,50-53,0,94286-103569,zoho,Awareness,8452.031586412038,0.03536233312583973,0.17532215531388573,12,1.3025948790556514,6.567187260207704,79,7,1,0-4,1964,[REDACTED],[REDACTED],1
78,78,78,78,78,CUST0079,26-29,1,57150-66433,google ads,Consideration,7825.641035198334,0.17660335418058468,0.17988836085171278,37,4.162765176042096,6.0916170458751875,90,11,8,5-9,4031,[REDACTED],[REDACTED],1
79,79,79,79,79,CUST0080,50-53,1,29298-38581,baidu,Consideration,6553.474216812986,0.27402101797465284,0.08270857110146934,7,3.2299442504633724,7.2917411736328,10,15,9,5-9,65,[REDACTED],[REDACTED],1
80,80,80,80,80,CUST0081,30-33,0,85002-94285,zoho,Retention,8876.021405643756,0.28701165378568977,0.17343220337670234,15,1.0172721690217739,11.942184960748499,65,19,4,5-9,1998,[REDACTED],[REDACTED],1
81,81,81,81,81,CUST0082,46-49,0,94286-103569,affiliate,Consideration,7163.8136212318495,0.25102463486704174,0.11341970910962279,19,9.518953226445461,4.684389248483788,59,2,8,5-9,590,[REDACTED],[REDACTED],1
82,82,82,82,82,CUST0083,62-65,1,85002-94285,linkedin ads,Consideration,5332.807515423904,0.2592998389070003,0.01470306738763053,25,3.5770133360632244,5.759421429272779,30,15,7,0-4,220,[REDACTED],[REDACTED],1
83,83,83,83,83,CUST0084,30-33,0,38582-47865,partner site,Retention,9772.457614168867,0.20072393537183125,0.1315745896605539,34,5.469016505828212,3.103976437642085,49,14,4,0-4,4394,[REDACTED],[REDACTED],1
84,84,84,84,84,CUST0085,22-25,1,122138-131421,instagram,Consideration,6877.81525825502,0.07151365624602238,0.1030995232339114,16,6.013446999464119,10.73767563381963,59,10,6,5-9,928,[REDACTED],[REDACTED],1
85,85,85,85,85,CUST0086,30-33,0,47866-57149,yahoo,Awareness,6164.359741512197,0.21506747518387628,0.05815451331787217,25,6.425208102166056,13.552453869364188,87,5,1,0-4,1884,[REDACTED],[REDACTED],1
86,86,86,86,86,CUST0087,38-41,0,140706-149989,google ads,Consideration,4070.195497581493,0.2900980145447568,0.19564235026240184,17,5.139106724232858,2.8466139207422763,61,1,9,5-9,1530,[REDACTED],[REDACTED],1
87,87,87,87,87,CUST0088,54-57,0,103570-112853,outlook,Awareness,9264.446954640165,0.1651771938884051,0.025383388718976135,43,6.353947892150696,1.1864952505572182,38,6,9,5-9,932,[REDACTED],[REDACTED],1
88,88,88,88,88,CUST0089,38-41,0,103570-112853,gmail,Awareness,3232.188734112178,0.07998571860177235,0.1929802817404914,6,7.666002824705495,5.9889518774938955,2,15,6,0-4,3472,[REDACTED],[REDACTED],1
89,89,89,89,89,CUST0090,30-33,1,112854-122137,baidu,Awareness,36.924191716516475,0.17731489401122646,0.036699657325759846,43,9.5182256975614,6.7790909475922465,57,0,4,0-4,3242,[REDACTED],[REDACTED],1
90,90,90,90,90,CUST0091,62-65,1,57150-66433,affiliate,Consideration,2306.344056109663,0.20533806555293826,0.08246276430805646,34,6.883039697509879,9.60694511194235,67,12,5,0-4,3897,[REDACTED],[REDACTED],1
91,91,91,91,91,CUST0092,34-37,0,38582-47865,blog,Consideration,1119.9081629354812,0.07432682867306806,0.08448950491631281,11,5.332496678541323,1.7999503727854194,29,3,8,5-9,1288,[REDACTED],[REDACTED],1
92,92,92,92,92,CUST0093,62-65,1,20014-29297,google ads,Conversion,3245.1497473102822,0.2232169547204489,0.1497697194492501,46,5.109098592368062,12.416837655335021,66,0,7,5-9,2324,[REDACTED],[REDACTED],1
93,93,93,93,93,CUST0094,38-41,1,20014-29297,facebook ads,Retention,8244.318831991146,0.1852570336465954,0.05274433785773092,48,7.3415477130126,8.851951416083145,67,4,1,5-9,2368,[REDACTED],[REDACTED],1
94,94,94,94,94,CUST0095,42-45,0,20014-29297,affiliate,Retention,6755.531027171428,0.1910356806453363,0.19824025011195628,43,6.53802975232873,8.129355020586566,57,15,9,5-9,3006,[REDACTED],[REDACTED],1
95,95,95,95,95,CUST0096,42-45,0,131422-140705,linkedin ads,Conversion,1442.38161020068,0.10123713145788181,0.15007310527908635,40,4.812773400193646,4.8836580837208015,76,18,5,5-9,72,[REDACTED],[REDACTED],1
96,96,96,96,96,CUST0097,62-65,0,75718-85001,online directory,Awareness,7670.921475892779,0.05689778840601643,0.15969047391082006,0,4.087718046165803,6.061970788176696,52,11,0,0-4,3482,[REDACTED],[REDACTED],1
97,97,97,97,97,CUST0098,58-61,1,20014-29297,google,Retention,4954.727037683553,0.19942394842180855,0.024748942925807756,24,9.909475986128706,1.2281881853481074,13,8,7,0-4,205,[REDACTED],[REDACTED],1
98,98,98,98,98,CUST0099,46-49,0,122138-131421,twitter ads,Conversion,5215.764295282254,0.17687115837506492,0.10211652512473654,15,7.954925008692671,11.6466015323666,9,5,0,0-4,2595,[REDACTED],[REDACTED],1
99,99,99,99,99,CUST0100,30-33,1,57150-66433,partner site,Awareness,3853.051464066987,0.10140204563010424,0.19394779953705876,14,2.8762893187143823,9.434145818773933,77,8,1,0-4,3514,[REDACTED],[REDACTED],1
100,100,100,100,100,CUST0101,62-65,1,94286-103569,linkedin ads,Conversion,8625.519894438792,0.09310414903093123,0.06390518741089872,10,3.504568979913584,14.649854525970962,80,1,3,0-4,2398,[REDACTED],[REDACTED],1
101,101,101,101,101,CUST0102,18-21,0,140706-149989,zoho,Consideration,3188.1470151407375,0.10800062569424994,0.03602860038283854,36,9.158222612829604,5.54456895608785,21,0,9,5-9,4525,[REDACTED],[REDACTED],1
102,102,102,102,102,CUST0103,42-45,1,47866-57149,gmail,Consideration,1164.882795158387,0.150518164073884,0.1001287559516649,38,6.834061150110998,10.394666949402863,62,9,1,5-9,1506,[REDACTED],[REDACTED],1
103,103,103,103,103,CUST0104,22-25,1,112854-122137,facebook,Awareness,3211.1014187834157,0.2936016073805368,0.18531538864372704,2,3.605277058911148,14.023515050706964,60,2,4,0-4,1821,[REDACTED],[REDACTED],1
104,104,104,104,104,CUST0105,26-29,0,38582-47865,partner site,Awareness,7071.575822145857,0.2341966249273579,0.10204860402125476,44,4.156479072656985,10.839319704225943,45,17,6,5-9,272,[REDACTED],[REDACTED],1
105,105,105,105,105,CUST0106,38-41,1,75718-85001,whatsapp,Consideration,6592.907077098152,0.25165278955139275,0.089515966867241,44,4.322402159458158,0.870492110654765,36,11,6,5-9,360,[REDACTED],[REDACTED],1
106,106,106,106,106,CUST0107,18-21,1,112854-122137,partner site,Retention,2098.244452614514,0.15711683203093185,0.13041451316463104,41,2.632255990724429,9.787430886675992,20,14,9,5-9,4403,[REDACTED],[REDACTED],1
107,107,107,107,107,CUST0108,58-61,1,20014-29297,google ads,Retention,1255.7080341339172,0.15304718507441195,0.1848457848528483,38,5.401771738081771,8.305153659583398,88,13,4,5-9,3502,[REDACTED],[REDACTED],1
108,108,108,108,108,CUST0109,22-25,0,66434-75717,online directory,Consideration,6603.454341634306,0.06811294464047667,0.018651441284648972,19,8.059582075648203,8.022988989068148,2,9,2,5-9,2395,[REDACTED],[REDACTED],1
109,109,109,109,109,CUST0110,38-41,0,94286-103569,protonmail,Retention,6768.812727464964,0.2205892816617343,0.040553686409971,22,6.127200286990388,8.668369760541177,18,5,4,5-9,2647,[REDACTED],[REDACTED],1
110,110,110,110,110,CUST0111,26-29,0,29298-38581,google ads,Consideration,3721.87846847392,0.13880302225891705,0.03452428796556467,14,6.88797463886846,7.082121419994003,31,19,3,5-9,3426,[REDACTED],[REDACTED],1
111,111,111,111,111,CUST0112,66-69,0,20014-29297,gmail,Conversion,8475.411282035237,0.2182830970674073,0.027324581905022127,17,6.23904573461629,10.492073828864509,78,19,5,5-9,603,[REDACTED],[REDACTED],1
112,112,112,112,112,CUST0113,34-37,0,94286-103569,linkedin ads,Conversion,9584.241232501598,0.12508578204589987,0.07151480436534441,38,1.3992732490485322,0.9424858859551039,23,11,0,0-4,3469,[REDACTED],[REDACTED],1
113,113,113,113,113,CUST0114,22-25,0,66434-75717,online directory,Conversion,2110.203777765092,0.041760529837231976,0.0568413735887316,34,2.8028065953574504,3.4884474736373554,72,8,0,0-4,4643,[REDACTED],[REDACTED],0
114,114,114,114,114,CUST0115,50-53,1,122138-131421,blog,Retention,5778.247837701696,0.06753576477932038,0.112138130535922,28,4.074019749094338,5.498269685756872,73,3,7,5-9,162,[REDACTED],[REDACTED],1
115,115,115,115,115,CUST0116,50-53,1,75718-85001,outlook,Conversion,105.25414877516879,0.24369432552885764,0.0726980790294214,19,9.303210916341039,6.8409497365910035,47,3,5,5-9,1669,[REDACTED],[REDACTED],1
116,116,116,116,116,CUST0117,50-53,0,94286-103569,baidu,Awareness,7032.520737885333,0.08672754899173658,0.08093648240919268,41,4.224048286294035,2.3964538903111476,95,1,8,5-9,1981,[REDACTED],[REDACTED],1
117,117,117,117,117,CUST0118,22-25,1,29298-38581,affiliate,Awareness,4341.992791054387,0.08694586333143071,0.18968870005439192,14,3.9248960666134947,12.306696477225369,57,6,9,5-9,4669,[REDACTED],[REDACTED],1
118,118,118,118,118,CUST0119,58-61,0,38582-47865,yahoo,Conversion,1912.9446755352983,0.2726301515418903,0.03772703831136396,31,1.7731927646570538,13.896374278161515,39,10,0,5-9,2597,[REDACTED],[REDACTED],1
119,119,119,119,119,CUST0120,54-57,0,140706-149989,google ads,Awareness,7478.406802993765,0.198281709766462,0.08094855706137198,11,9.67266715481853,11.596183414924692,6,15,6,0-4,4820,[REDACTED],[REDACTED],1
120,120,120,120,120,CUST0121,58-61,0,112854-122137,google,Conversion,8341.351732075109,0.04203089037831192,0.05722691279779908,47,7.983419362407766,14.08802657941409,45,9,0,0-4,3803,[REDACTED],[REDACTED],1
121,121,121,121,121,CUST0122,42-45,0,29298-38581,zoho,Conversion,1165.753927257848,0.057518609151858094,0.11603749964528148,11,7.975653020672425,11.342450331454584,90,14,6,5-9,3336,[REDACTED],[REDACTED],1
122,122,122,122,122,CUST0123,22-25,0,140706-149989,twitter,Consideration,554.8496116602761,0.08651378097690318,0.1483217278685295,24,4.307464185636805,6.961210021357498,14,1,6,0-4,4108,[REDACTED],[REDACTED],1
